RCDTS,Report,School Name_x,District Name_x,School EntityID,School Type_x,#Dist Entity ID,ISBE Region,ROE Area,CohortYear,Tier,ROE Name,Participating?,NCESID,ROE_x,Type,School Name_y,District Name_y,City,County,District Type,District Size,School Type_y,Grades Served,Avg Class Size - All Grades,Summative Designation,# Student Enrollment,% Student Enrollment - White,% Student Enrollment - Black or African American,% Student Enrollment - Hispanic or Latino,% Student Enrollment - Asian,% Student Enrollment - Native Hawaiian or Other Pacific Islander,% Student Enrollment - American Indian or Alaska Native,% Student Enrollment - Two or More Races,% Student Enrollment - Children with Disabilities,% Student Enrollment - IEP,% Student Enrollment - EL,% Student Enrollment - Low Income,% Student Enrollment - Homeless,% 8th Grade Passing Algebra 1,Student Attendance Rate,Student Mobility Rate,Chronically Truant Students,Student Chronic Truancy Rate,High School Dropout Rate - Total,High School 4-Year Graduation Rate - Total,Avg Class Size - All Grades.1,Avg Number of Days of Physical Education per Week Per Student,Total Teacher Headcount,Total Teacher FTE,Avg Teaching Exp,% Novice Teachers,Teacher Retention Rate,Teacher Attendace Rate,Teacher Evaluation Rate,Principal Turnover within 6 Years,Teacher Avg Salary,Admin Avg Salary,Five Essential Survey Effective Leaders,Five Essential Survey Leaders Level,Five Essential Survey Collaborative Teachers,Five Essential Survey Collaborative Teachers Level,Five Essential Survey Involved Families,Five Essential Survey Involved Families Level,Five Essential Survey Supportive Environment,Five Essential Survey Supportive Environment Level,Five Essential Survey Ambitious Instruction,Five Essential Survey Ambitious Instruction Level,Climate Survey Student Response Rate,Climate Survey Teacher Response Rate,# ELA Proficiency,# ELA Student Participation,# Math Proficiency,# Math Participation Total Student,ELA Growth Percentile - Total,Math Growth Percentile,# Science Proficiency,# Science Student Participation,% Science Proficiency,# 9th Grade on Track,% 9th Grade on Track,Chronic Absenteeism,# Students with Discipline Incidents,# Discipline Incidents,# Discipline Incidents - Expulsion: Received Educational Srvcs,# Discipline Incidents - Expulsion: Did not Receive Educational Srvcs,# Discipline Incidents - In-school Suspension,# Discipline Incidents - Out-of-School Suspension,# Discipline Incidents - Removal,State Name [Public School] Latest available year,School Name [Public School] 2021-22,StateID,ParticipatingSchools,Agency Name [Public School] 2021-22,Agency ID - NCES Assigned [Public School] Latest available year,Locale [Public School] 2021-22,Locale,FRL_percent,Female_percent,American Indian/Alaska Native Students [Public School] 2021-22,Asian or Asian/Pacific Islander Students [Public School] 2021-22,Hispanic Students [Public School] 2021-22,Black or African American Students [Public School] 2021-22,White Students [Public School] 2021-22,Nat. Hawaiian or Other Pacific Isl. Students [Public School] 2021-22,Two or More Races Students [Public School] 2021-22,Pupil/Teacher Ratio [Public School] 2021-22,School size,Title I School Status [Public School] 2021-22,State School ID [Public School] 2021-22,State Agency ID [Public School] 2021-22,National School Lunch Program [Public School] 2021-22,Free and Reduced Lunch Students [Public School] 2021-22,Male Students [Public School] 2021-22,Female Students [Public School] 2021-22,American Indian/Alaska Native Students [Public School] 2021-22.1,Asian or Asian/Pacific Islander Students [Public School] 2021-22.1,Hispanic Students [Public School] 2021-22.1,Black or African American Students [Public School] 2021-22.1,White Students [Public School] 2021-22.1,Nat. Hawaiian or Other Pacific Isl. Students [Public School] 2021-22.1,Two or More Races Students [Public School] 2021-22.1,Total Race/Ethnicity [Public School] 2021-22,teacher_count,Pupil/Teacher Ratio [Public School] 2021-22.1,School Level (SY 2017-18 onward) [Public School] 2021-22,Lowest Grade Offered [Public School] 2021-22,Highest Grade Offered [Public School] 2021-22,ROE_y,ROE_AREA,ROE_AREA_Name,school_id,School Name,student_response_rate,teacher_response_rate,student_n,teacher_n,cdis1,colb,colr,inf3,innv,ins3,pgmc,pnfl,prt4,prti,qpd2,refd,scmt,sdis,socz,trpa,trpr,trte,tsaf,uexp,acno,clar,engg,engl,futr,humr,math,peer,perc,pres,prs2,rigr,safe1,scie,slap,stdy,trts,leaders,teachers,families,environment,instruction,5essentials_overall_score,net5e
1.00902E+13,Beardstown Jr/Sr High School- Beardstown CUSD 15,Beardstown Jr/Sr High School,Beardstown CUSD 15,906,"High School,Middle/Jr. High",905,1,3,2023,TComp,West Central,1.00902E+13,1.70531E+11,1,School,Beardstown Jr/Sr High School,Beardstown CUSD 15,Beardstown,Cass,UNIT,MEDIUM,HIGH SCHOOL,12-May,24,Commendable,813,30.3,9,57.4,,,,,14.4,14.4,44,64.9,2.1,21.6,92.8,15.7,133,15,5.7,83.5,19.7,4.5,,,,,86.7,,,2,,,47,3,36,2,35,2,37,2,47,3,65,57.1,40,476,20,475,42.6,39.4,89,285,31.7,94,86.2,23.5,101,219,Not Provided,,147,72,Not Provided,Illinois,Beardstown Jr/Sr High School,1.00902E+13,1,Beardstown CUSD 15,1705310,33-Town: Remote,3,0.987878788,0.4557575757575757,0.004848485,0.013333333,0.5393939393939394,0.1066666666666666,0.3187878787878788,0.004848485,0.012121212,15.22,825,4-Title I schoolwide eligible school-No program,IL-01-009-0150-26-0100901500007,IL-01-009-0150-26,No,815,449,376,4,11,445,88,263,4,10,825,54.19,15.22,High,5th Grade,12th Grade,1,3,West Central,1641,Beardstown Jr/Sr High School,65,57.1,829,84,53,38,22,31,1,35,61,40,33,66,41,38,41,40,99,31,62,36,44,26,61,52,72,54,1,56,52,42,56,41,32,32,28,40,39,71,53,47,36,35,37,47,1,-3
1.06912E+13,Jacksonville Middle School- Jacksonville SD 117,Jacksonville Middle School,Jacksonville SD 117,14212,Middle/Jr. High,14210,1,3,2023,TComp,West Central,1.06912E+13,1.72028E+11,1,School,Jacksonville Middle School,Jacksonville SD 117,Jacksonville,Morgan,UNIT,LARGE,MIDDLE SCHL,8-Jun,23.4,Comprehensive,704,74.6,9.4,4.8,,,,9.9,23.4,20,1.6,56.1,2.4,30.8,91.6,8,140,18.8,,,20.9,5,,,,,83.1,,,4,,,48,3,42,3,30,2,38,2,50,3,78.9,87,171,695,122,695,40.2,40.9,131,250,53.5,,,24.6,153,548,2,Not Provided,204,340,2,Illinois,Jacksonville Middle School,1.06912E+13,1,Jacksonville SD 117,1720280,32-Town: Distant,3,0.5560165975103735,0.5145228215767634,0.005532503,0.008298755,0.044260028,0.1051175656984785,0.73582296,0,0.1009681881051175,12.05,723,5-Title I schoolwide school,IL-01-069-1170-22-0106911701013,IL-01-069-1170-22,No,402,351,372,4,6,32,76,532,0,73,723,59.99,12.05,Middle,5th Grade,8th Grade,1,3,West Central,2956,Jacksonville Middle School,78.9,87,706,77,38,55,40,52,19,36,60,32,20,27,39,38,32,18,99,37,42,46,24,,33,46,62,50,,59,83,21,45,48,25,37,27,53,,37,46,48,42,30,38,50,2,-2
1.06912E+13,Lincoln Elementary School- Jacksonville SD 117,Lincoln Elementary School,Jacksonville SD 117,14217,Elementary,14210,1,6,2023,CSI/NA,Southeast,1.06912E+13,1.72028E+11,1,School,Lincoln Elementary School,Jacksonville SD 117,Jacksonville,Morgan,UNIT,LARGE,ELEMENTARY,K - 5,22.9,Comprehensive,267,50.2,22.8,5.2,,,,21,23.6,22.5,,86.1,3.7,,91.2,15.3,65,27.1,,,24.8,5,,,,,85.2,,,1,,,34,2,35,2,8,1,71,4,48,3,85.1,75,14,117,6,117,33,31,7,33,21.2,,,33.2,39,84,,,57,27,,Illinois,Lincoln Elem School,1.06912E+13,1,Jacksonville SD 117,1720280,32-Town: Distant,3,0.8739495798319328,0.5042016806722689,0.012605042,,0.033613445,0.2983193277310924,0.5,,0.1554621848739495,11.51,238,5-Title I schoolwide school,IL-01-069-1170-22-0106911702006,IL-01-069-1170-22,No,208,118,120,3,–,8,71,119,–,37,238,20.67,11.51,Elementary,Kindergarten,3rd Grade,7,1,Northeast,2798,Lincoln Elementary School,85.1,75,74,24,61,59,25,38,1,38,32,6,17,8,50,16,25,1,92,1,27,16,33,,99,,99,61,,,68,,68,63,,68,55,,,83,60,34,35,8,71,48,2,-2
4.10112E+13,Harlem Middle School- Harlem UD 122,Harlem Middle School,Harlem UD 122,3752,Middle/Jr. High,3749,4,2,2023,TComp,Northwest,4.10112E+13,1.71824E+11,4,School,Harlem Middle School,Harlem UD 122,Loves Park,Winnebago,UNIT,LARGE,MIDDLE SCHL,8-Jul,25.1,Comprehensive,948,66,7.5,17,1.4,,,7.8,24.6,18.6,5.7,60.7,1.7,18,88.8,7.8,453,45.7,,,20.1,5,,,,,86.7,,,3,,,40,3,27,2,21,2,6,1,35,2,96.7,90.4,280,923,179,921,41.7,43.8,203,469,43.8,,,40.2,290,970,,,612,358,,Illinois,Harlem Middle School,4.10112E+13,1,Harlem UD 122,1718240,21-Suburb: Large,2,0.5837615621788284,0.4655704008221993,0.004110997,0.011305242,0.1541623843782117,0.087358684,0.6618705035971223,,0.081192189,12.69,973,–,IL-04-101-1220-22-0410112201005,IL-04-101-1220-22,No,568,520,453,4,11,150,85,644,–,79,973,76.7,12.69,Middle,7th Grade,8th Grade,4,2,Northwest,2756,Harlem Middle School,96.7,90.4,908,104,24,49,14,41,1,31,41,38,13,12,30,38,16,9,96,13,45,24,6,,1,1,7,53,,38,55,1,10,24,1,7,1,50,,1,13,40,27,21,6,35,1,-4
4.10121E+13,Auburn High School- Rockford SD 205,Auburn High School,Rockford SD 205,9457,High School,9456,4,2,2023,ISI/RNA,Northwest,4.10121E+13,1.73451E+11,4,School,Auburn High School,Rockford SD 205,Rockford,Winnebago,UNIT,LARGE,HIGH SCHOOL,12-Sep,23.3,Intensive,1725,28.4,39.4,20.3,3.9,,,7.9,18.2,14,4.9,59.7,4.5,,84.7,25.1,1080,52.1,8.5,59.6,21.7,5,,,,,84.4,,,2,,,11,1,19,1,19,1,28,2,45,3,62.6,64.5,104,359,77,358,,,97,262,38.3,352,75.1,53.5,479,1562,8,1,1130,371,52,Illinois,Auburn High School,4.10121E+13,1,Rockford SD 205,1734510,12-City: Mid-size,1,0.4422348484848485,0.5104166666666666,0.001893939,0.034090909,0.1808712121212121,0.4266098484848485,0.2769886363636363,0.001420455,0.078125,21.36,2112,5-Title I schoolwide school,IL-04-101-2050-25-0410120500001,IL-04-101-2050-25,No,934,1034,1078,4,72,382,901,585,3,165,2112,98.88,21.36,High,9th Grade,12th Grade,4,2,Northwest,4088,Auburn High School,62.6,64.5,1691,121,28,35,12,3,1,10,12,26,22,44,3,26,15,19,48,9,20,32,6,12,50,42,69,58,1,40,57,43,49,46,9,39,13,67,39,55,49,11,19,19,28,45,1,-4
4.10121E+13,West Middle School- Rockford SD 205,West Middle School,Rockford SD 205,9461,Middle/Jr. High,9456,4,2,2023,ISI/RNA,Northwest,4.10121E+13,1.73451E+11,4,School,West Middle School,Rockford SD 205,Rockford,Winnebago,UNIT,LARGE,MIDDLE SCHL,8-Jun,20.2,Intensive,828,23.2,48.1,16.9,,,,10.6,23.2,19.3,8.8,74.2,5.2,8.4,85.9,18.4,527,57.2,,,25.1,5,,,,,74.6,,,3,,,,0,,0,,0,9,1,56,3,67.6,32.1,96,817,13,815,41.9,39.6,71,283,25.3,,,54.5,407,1733,2,,1285,423,23,Illinois,West Middle School,4.10121E+13,1,Rockford SD 205,1734510,12-City: Mid-size,1,0.5714285714285714,0.5210084033613446,0.003151261,0.007352941,0.1743697478991596,0.4873949579831932,0.2289915966386554,,0.098739496,16.42,952,5-Title I schoolwide school,IL-04-101-2050-25-0410120501001,IL-04-101-2050-25,No,544,456,496,3,7,166,464,218,–,94,952,57.99,16.42,Middle,6th Grade,8th Grade,4,2,Northwest,4130,West Middle School,67.6,32.1,820,56,,,,,,,,,,,,,,,,,,,,,6,1,37,72,,28,60,5,21,37,1,5,1,36,,2,9,,,,9,56,2,-1
4.10121E+13,Eisenhower Middle School- Rockford SD 205,Eisenhower Middle School,Rockford SD 205,9462,Middle/Jr. High,9456,4,2,2023,TComp,Northwest,4.10121E+13,1.73451E+11,4,School,Eisenhower Middle School,Rockford SD 205,Rockford,Winnebago,UNIT,LARGE,MIDDLE SCHL,8-Jun,20.4,Comprehensive,955,41.9,22.6,21.8,4.8,,,8.6,17.7,12.7,13.9,54.9,3,28.9,90.3,9.9,314,30.8,,,27.5,4.3,,,,,89.1,,,1,,,,0,,0,,0,17,1,47,3,80.9,39.3,168,958,53,957,35.9,36.5,101,321,31.8,,,37,308,1543,2,,1218,314,9,Illinois,Eisenhower Middle School,4.10121E+13,1,Rockford SD 205,1734510,12-City: Mid-size,1,0.359275053,0.4690831556503198,0.001066098,0.049040512,0.2345415778251599,0.2377398720682302,0.4019189765458422,0.002132196,0.073560768,16.72,938,5-Title I schoolwide school,IL-04-101-2050-25-0410120501006,IL-04-101-2050-25,No,337,498,440,1,46,220,223,377,2,69,938,56.1,16.72,Middle,6th Grade,8th Grade,4,2,Northwest,4099,Eisenhower Middle School,80.9,39.3,968,61,,,,,,,,,,,,,,,,,,,,,17,13,39,56,,47,47,7,25,37,19,17,4,57,,17,22,,,,17,47,2,-1
4.10121E+13,Abraham Lincoln Middle School- Rockford SD 205,Abraham Lincoln Middle School,Rockford SD 205,9464,Middle/Jr. High,9456,4,2,2023,ISI/RNA,Northwest,4.10121E+13,1.73451E+11,4,School,Abraham Lincoln Middle School,Rockford SD 205,Rockford,Winnebago,UNIT,LARGE,MIDDLE SCHL,8-Jun,19.6,Intensive,693,23.2,38,23.7,5.9,,,8.7,19.9,18.5,19.9,78.9,5.8,22,85.7,20.2,428,54.9,,,21.6,3.3,,,,,80.3,,,3,,,,0,,0,,0,18,1,57,3,84.8,36.8,38,690,12,683,32.5,39,25,208,12.1,,,52.7,293,1549,5,,1037,482,25,Illinois,Abraham Lincoln Middle School,4.10121E+13,1,Rockford SD 205,1734510,12-City: Mid-size,1,0.5783308931185944,0.4773060029282577,0.002928258,0.061493411,0.1844802342606149,0.3879941434846266,0.260614934,0.004392387,0.098096633,15.12,683,5-Title I schoolwide school,IL-04-101-2050-25-0410120501009,IL-04-101-2050-25,No,395,357,326,2,42,126,265,178,3,67,683,45.17,15.12,Middle,6th Grade,8th Grade,4,2,Northwest,4086,Abraham Lincoln Middle School,84.8,36.8,664,57,,,,,,,,,,,,,,,,,,,,,16,8,52,76,,35,62,1,33,34,1,10,1,48,,16,20,,,,18,57,2,-1
4.10121E+13,Kennedy Middle School- Rockford SD 205,Kennedy Middle School,Rockford SD 205,9465,Middle/Jr. High,9456,4,2,2023,ISI/RNA,Northwest,4.10121E+13,1.73451E+11,4,School,Kennedy Middle School,Rockford SD 205,Rockford,Winnebago,UNIT,LARGE,MIDDLE SCHL,8-Jun,21.3,Intensive,359,15,62.4,14.5,,,,7.8,24,21.2,5.6,88.3,6.4,9.2,81.2,29.3,327,74.3,,,18,1.4,,,,,74.2,,,3,,,,0,,0,,0,13,1,45,3,55.6,43.2,17,349,2,345,34.9,36.1,12,136,9,,,70.9,266,1589,5,Not Provided,1333,225,26,Illinois,Kennedy Middle School,4.10121E+13,1,Rockford SD 205,1734510,12-City: Mid-size,1,0.714902808,0.490280778,0.002159827,0.002159827,0.1533477321814254,0.6241900647948164,0.1468682505399568,,0.071274298,13.55,463,5-Title I schoolwide school,IL-04-101-2050-25-0410120501010,IL-04-101-2050-25,No,331,236,227,1,1,71,289,68,–,33,463,34.16,13.55,Middle,6th Grade,8th Grade,4,2,Northwest,4109,Kennedy Middle School,55.6,43.2,338,37,,,,,,,,,,,,,,,,,,,,,17,1,60,64,,30,53,4,23,18,1,4,1,35,,1,9,,,,13,45,2,-1
4.10121E+13,Ellis Elementary School- Rockford SD 205,Ellis Elementary School,Rockford SD 205,9477,Elementary,9456,4,2,2023,ISI/RNA,Northwest,4.10121E+13,1.73451E+11,4,School,Ellis Elementary School,Rockford SD 205,Rockford,Winnebago,UNIT,LARGE,ELEMENTARY,K - 5,20.1,Intensive,397,8.6,66.8,13.9,,,,10.8,22.2,21.2,9.1,88.9,7.6,,85,27,236,60.2,,,26.8,2.1,,,,,76.7,,,2,,,58,3,53,3,13,1,43,3,42,3,96.5,65.8,6,204,4,203,37.3,33.6,9,64,14.1,,,61,110,288,,,126,161,1,Illinois,Ellis Elementary School,4.10121E+13,1,Rockford SD 205,1734510,12-City: Mid-size,1,0.6772486772486772,0.4021164021164021,,,0.119047619,0.6984126984126984,0.084656085,,0.097883598,14.16,378,5-Title I schoolwide school,IL-04-101-2050-25-0410120502024,IL-04-101-2050-25,No,256,226,152,–,–,45,264,32,–,37,378,26.7,14.16,Elementary,Kindergarten,5th Grade,4,2,Northwest,4100,Ellis Elementary School,96.5,65.8,114,41,1,58,41,42,67,62,65,38,1,1,63,59,38,1,96,1,62,65,1,,70,,62,52,,,52,,44,62,,43,24,,,55,35,58,53,13,43,42,2,-1
