Report,District Name,RCDTS,Participating?,NCESID,ROE,Type,School Name,City,County,District Type,District Size,School Type_x,Grades Served,Avg Class Size - All Grades,Summative Designation,# Student Enrollment,% Student Enrollment - White,% Student Enrollment - Black or African American,% Student Enrollment - Hispanic or Latino,% Student Enrollment - Asian,% Student Enrollment - Native Hawaiian or Other Pacific Islander,% Student Enrollment - American Indian or Alaska Native,% Student Enrollment - Two or More Races,% Student Enrollment - Children with Disabilities,% Student Enrollment - IEP,% Student Enrollment - EL,% Student Enrollment - Low Income,% Student Enrollment - Homeless,% 8th Grade Passing Algebra 1,Student Attendance Rate,Student Mobility Rate,Chronically Truant Students,Student Chronic Truancy Rate,High School Dropout Rate - Total,High School 4-Year Graduation Rate - Total,Avg Class Size - All Grades.1,Avg Number of Days of Physical Education per Week Per Student,Total Teacher Headcount,Total Teacher FTE,Avg Teaching Exp,% Novice Teachers,Teacher Retention Rate,Teacher Attendace Rate,Teacher Evaluation Rate,Principal Turnover within 6 Years,Teacher Avg Salary,Admin Avg Salary,Five Essential Survey Effective Leaders,Five Essential Survey Leaders Level,Five Essential Survey Collaborative Teachers,Five Essential Survey Collaborative Teachers Level,Five Essential Survey Involved Families,Five Essential Survey Involved Families Level,Five Essential Survey Supportive Environment,Five Essential Survey Supportive Environment Level,Five Essential Survey Ambitious Instruction,Five Essential Survey Ambitious Instruction Level,Climate Survey Student Response Rate,Climate Survey Teacher Response Rate,# ELA Proficiency,# ELA Student Participation,# Math Proficiency,# Math Participation Total Student,ELA Growth Percentile - Total,Math Growth Percentile,# Science Proficiency,# Science Student Participation,% Science Proficiency,# 9th Grade on Track,% 9th Grade on Track,Chronic Absenteeism,# Students with Discipline Incidents,# Discipline Incidents,# Discipline Incidents - Expulsion: Received Educational Srvcs,# Discipline Incidents - Expulsion: Did not Receive Educational Srvcs,# Discipline Incidents - In-school Suspension,# Discipline Incidents - Out-of-School Suspension,# Discipline Incidents - Removal,School EntityID,School Type_y,#Dist Entity ID,ISBE Region,ROE Area,CohortYear,Tier,ROE Name,school_id,student_response_rate,teacher_response_rate,student_n,teacher_n,cdis1,colb,colr,inf3,innv,ins3,pgmc,pnfl,prt4,prti,qpd2,refd,scmt,sdis,socz,trpa,trpr,trte,tsaf,uexp,acno,clar,engg,engl,futr,humr,math,peer,perc,pres,prs2,rigr,safe1,scie,slap,stdy,trts,leaders,teachers,families,environment,instruction,5essentials_overall_score,net5e
Seymour High School- Payson CUSD 1,Payson CUSD 1,1.00E+13,,1.73E+11,1,School,Seymour High School,Payson,Adams,UNIT,MEDIUM,HIGH SCHOOL,7 - 12,19.7,Commendable,219,93.6,,,,,,5.9,20.1,16.4,,48.9,,33.3,92,9.5,44,19.2,6.4,82.4,14.3,5,,,,,84,,,2,,,40,3,70,4,41,3,28,2,36,2,92,59.1,23,102,21,101,41,44.4,38,58,65.5,29,82.9,22.6,55,146,,,120,26,Not Provided,,,,,,,,,3779,92,59.1,212,22,82,48,69,28,53,32,70,45,41,79,60,48,75,92,91,37,29,99,62,36,22,1,17,1,1,69,32,36,16,17,20,1,29,9,16,17,30,40,70,41,28,36,2,-1
Seymour Elementary School- Payson CUSD 1,Payson CUSD 1,1.00E+13,,1.73E+11,1,School,Seymour Elementary School,Payson,Adams,UNIT,MEDIUM,ELEMENTARY,PK - 6,20.4,Exemplary,267,92.1,,,,,,4.1,18,16.1,,50.9,,,94.6,6.2,13,6.4,,,16.3,5,,,,,91.4,,,1,,,42,3,44,3,43,3,57,3,52,3,95.1,64.3,41,134,29,134,59.9,54.3,11,36,30.6,,,12.2,24,65,,,34,31,,,,,,,,,,3778,95.1,64.3,102,28,58,38,38,36,19,35,51,13,66,48,49,33,50,49,34,49,46,45,41,,62,54,59,45,,72,52,39,66,62,3,58,42,16,,41,58,42,44,43,57,52,3,0
Liberty High School- Liberty CUSD 2,Liberty CUSD 2,1.00E+13,,1.72E+11,1,School,Liberty High School,Liberty,Adams,UNIT,MEDIUM,HIGH SCHOOL,7 - 12,24.8,Exemplary,263,95.1,,,,,,,28.5,23.2,,25.1,,10,93.7,4.5,15,5.6,,100,14.7,3.7,,,,,90.2,,,2,,,58,3,44,3,63,4,48,3,39,2,95.8,75,56,140,48,140,41.9,46.1,68,103,66,34,97.1,18,20,36,,,11,25,,,,,,,,,,3145,95.8,75,265,32,75,37,39,37,24,59,56,64,65,71,47,50,55,47,80,59,78,44,60,42,71,47,44,28,1,88,54,67,59,26,46,28,48,65,34,54,68,58,44,63,48,39,3,0
Liberty Elementary School- Liberty CUSD 2,Liberty CUSD 2,1.00E+13,,1.72E+11,1,School,Liberty Elementary School,Liberty,Adams,UNIT,MEDIUM,ELEMENTARY,PK - 6,22.8,Commendable,364,97.3,,,,,,,20.9,15.7,,22,,,95.5,6.3,,,,,19.4,3,,,,,88.9,,,1,,,51,3,50,3,54,3,74,4,64,4,99.2,77.3,75,177,69,177,44.2,40.7,33,43,76.7,,,10.1,18,35,,,21,14,,,,,,,,,,3144,99.2,77.3,126,44,55,52,43,37,34,46,56,43,64,61,57,47,62,40,96,54,64,37,41,,79,69,63,84,,99,57,56,79,73,41,54,67,28,,84,72,51,50,54,74,64,4,2
Central High School- Central CUSD 3,Central CUSD 3,1.00E+13,,1.71E+11,1,School,Central High School,Camp Point,Adams,UNIT,MEDIUM,HIGH SCHOOL,9 - 12,21.4,Commendable,239,95.4,,,,,,,20.5,15.1,,36.8,,,95.5,9.4,,,,84.3,12.2,5,,,,,92.9,,,2,,,46,3,28,2,41,3,50,3,50,3,74.5,85.7,25,65,25,65,,,49,65,76.6,53,91.4,11.6,33,43,,,33,10,,,,,,,,,,1933,74.5,85.7,239,21,75,6,35,44,17,15,77,37,50,77,30,19,45,34,99,36,49,25,71,39,80,57,46,49,1,94,52,47,61,63,52,41,49,53,42,57,71,46,28,41,50,50,2,-1
Central Junior High School- Central CUSD 3,Central CUSD 3,1.00E+13,,1.71E+11,1,School,Central Junior High School,Camp Point,Adams,UNIT,MEDIUM,MIDDLE SCHL,5 - 8,21.7,Exemplary,240,94.6,,,,,,,23.8,16.3,,37.9,,41.7,95.4,4.9,12,4.8,,,18.9,5,,,,,90,,,4,,,65,4,63,4,34,2,66,4,60,4,95,83.3,96,242,58,241,61.5,60.1,79,118,66.9,,,9.9,34,53,,,43,10,,,,,,,,,,1934,95,83.3,241,18,61,37,70,61,55,56,76,43,13,45,73,45,56,38,99,45,65,78,46,,73,61,99,33,,67,77,34,92,93,25,37,38,39,,45,62,65,63,34,66,60,5,3
Central Elementary Grade School- Central CUSD 3,Central CUSD 3,1.00E+13,,1.71E+11,1,School,Central Elementary Grade School,Camp Point,Adams,UNIT,MEDIUM,ELEMENTARY,PK - 2,25.1,Commendable,180,97.2,,,,,,,18.3,16.1,,38.9,,,94.2,7.1,,,,,16.1,5,,,,,89.6,,,1,,,18,1,15,1,33,2,,0,,0,0,57.1,,,,,,,,,,,,15.2,4,6,,,3,3,,,,,,,,,,1932,0,57.1,0,21,51,1,6,34,1,1,32,13,56,51,21,1,15,,46,31,6,32,25,,,,,,,,,,,,,,,,,,,18,15,33,,,1,-3
Central 3-4 Middle School- Central CUSD 3,Central CUSD 3,1.00E+13,,1.71E+11,1,School,Central 3-4 Middle School,Golden,Adams,UNIT,MEDIUM,ELEMENTARY,3 - 4,27.5,Commendable,109,92.7,,,,,,,22.9,22,,42.2,,,95.3,10.7,,,,,15.3,5,,,,,90.9,,,2,,,56,3,46,3,42,3,47,3,22,2,95,91.7,22,104,33,104,47.6,35.5,,,,,,,,,,,,,,,,,,,,,,1931,95,91.7,40,12,59,13,41,50,54,51,62,47,28,79,55,1,59,6,99,51,60,64,48,,49,,44,55,,,13,,61,12,,42,31,,,42,45,56,46,42,47,22,2,-1
Unity High School- CUSD 4,CUSD 4,1.00E+13,,1.73E+11,1,School,Unity High School,Mendon,Adams,UNIT,MEDIUM,HIGH SCHOOL,9 - 12,18,Commendable,178,95.5,,,,,,,20.2,18.5,,37.1,,,92.3,10.9,12,6.5,,94.9,12.8,5,,,,,77.1,,,2,,,49,3,28,2,45,3,31,2,45,3,76.5,77.8,12,41,9,41,,,16,40,41,41,85.4,25.3,14,26,,1,12,13,,,,,,,,,,2228,76.5,77.8,179,18,58,5,13,40,1,32,54,51,37,76,50,28,38,67,35,46,71,35,55,35,16,9,52,32,1,76,44,36,54,36,19,23,31,46,19,23,39,49,28,45,31,45,2,-2
Unity Elementary School- CUSD 4,CUSD 4,1.00E+13,,1.73E+11,1,School,Unity Elementary School,Mendon,Adams,UNIT,MEDIUM,ELEMENTARY,PK - 4,26.8,Commendable,298,96.3,,,,,,,12.8,12.1,,33.6,,,94,7.4,,,,,19.2,5,,,,,90,,,2,,,17,1,15,1,47,3,60,4,45,3,99.9,84,30,105,49,105,42.4,49.8,,,,,,14.3,6,12,,,7,5,,,,,,,,,,2227,99.9,84,53,25,58,33,1,29,3,1,29,34,60,48,14,26,19,45,16,46,8,9,28,,94,,66,47,,,52,,43,35,,34,45,,,78,57,17,15,47,60,45,2,-1
Unity Middle School- CUSD 4,CUSD 4,1.00E+13,,1.73E+11,1,School,Unity Middle School,Mendon,Adams,UNIT,MEDIUM,ELEMENTARY,5 - 8,27.4,Commendable,183,94.5,,,,,,,16.9,14.2,,42.1,,15.6,93.8,,,,,,18.3,5,,,,,80.6,,,2,,,38,2,16,1,8,1,43,3,56,3,78.4,78.6,93,188,38,187,68.5,48,38,83,45.8,,,17.4,15,24,,,13,11,,,,,,,,,,2229,78.4,78.6,185,14,50,1,1,42,1,5,37,10,7,40,21,1,43,30,28,7,69,12,40,,63,26,72,71,,75,76,35,38,46,25,26,24,19,,53,47,38,16,8,43,56,1,-3
Quincy Sr High School- Quincy SD 172,Quincy SD 172,1.00E+13,,1.73E+11,1,School,Quincy Sr High School,Quincy,Adams,UNIT,LARGE,HIGH SCHOOL,9 - 12,28.9,Commendable,1835,78.5,7,4.2,1,,,9,19,14.7,0.5,51.2,1.1,,85.6,14.9,674,34.1,5.8,78.4,21.3,3.5,,,,,90.4,,,1,,,42,3,37,2,49,3,35,2,41,3,72.4,80.6,108,441,79,440,,,255,435,58.6,356,81.3,43.1,298,957,,5,674,270,8,,,,,,,,,3975,72.4,80.6,1846,129,43,49,27,31,19,36,50,63,39,48,46,32,39,24,99,44,50,26,37,29,51,44,66,54,1,57,41,30,50,44,26,35,23,71,35,43,53,42,37,49,35,41,2,-2
Quincy Jr High School- Quincy SD 172,Quincy SD 172,1.00E+13,,1.73E+11,1,School,Quincy Jr High School,Quincy,Adams,UNIT,LARGE,MIDDLE SCHL,6 - 8,23.1,Targeted,1332,75.6,8.1,3.4,0.8,,,11.8,21.8,16.5,,60,1.1,24.3,89.4,7.3,320,23.1,,,22.4,4.6,,,,,83.8,,,2,,,39,2,19,1,25,2,26,2,34,2,89.7,66.7,327,1287,219,1253,37.9,35.9,193,435,45.2,,,34.7,412,1775,,3,1082,689,1,,,,,,,,,3974,89.7,66.7,1282,99,13,31,14,46,1,22,48,49,10,2,25,30,7,10,84,17,38,18,6,,27,15,51,36,,50,56,6,34,34,17,11,14,52,,13,29,39,19,25,26,34,1,-5
Sarah Atwater Denman Elementary School- Quincy SD 172,Quincy SD 172,1.00E+13,,1.73E+11,1,School,Sarah Atwater Denman Elementary School,Quincy,Adams,UNIT,LARGE,ELEMENTARY,K - 5,28.7,Targeted,497,79.9,4.4,3.4,,,,11.3,16.9,14.1,,59,,,93.6,8.6,31,7.2,,,20.9,4.3,,,,,86.7,,,1,,,33,2,23,2,45,3,52,3,47,3,95.1,76.4,60,256,67,256,45.3,52.3,35,75,46.7,,,18.6,39,80,,,10,70,,,,,,,,,,3966,95.1,76.4,162,55,20,33,13,36,16,31,39,49,54,33,32,16,2,23,87,33,26,34,1,,71,,57,43,,,66,,44,56,,47,41,,,46,51,33,23,45,52,47,2,-2
Colonel George Iles Elementary School- Quincy SD 172,Quincy SD 172,1.00E+13,,1.73E+11,1,School,Colonel George Iles Elementary School,Quincy,Adams,UNIT,LARGE,ELEMENTARY,K - 5,25.4,Commendable,515,74,8.7,3.7,,,,13.4,20.2,17.3,,71.7,,,93.1,12.1,37,8,,,22.7,4.3,,,,,90.4,,,2,,,45,3,31,2,38,2,63,4,58,3,94.9,73.2,75,262,59,261,51.7,54.6,46,92,50,,,22.6,33,83,,,1,82,,,,,,,,,,3969,94.9,73.2,158,56,23,42,13,41,11,43,52,36,54,15,44,26,18,29,99,23,44,36,1,,71,,81,69,,,57,,72,76,,63,45,,,59,65,45,31,38,63,58,2,-1
Thomas S Baldwin Elementary School- Quincy SD 172,Quincy SD 172,1.00E+13,,1.73E+11,1,School,Thomas S Baldwin Elementary School,Quincy,Adams,UNIT,LARGE,ELEMENTARY,K - 5,24,Commendable,551,73.1,9.1,3.4,,,,13.1,19.6,17.2,,65.3,2,,93.1,13,57,11.8,,,23.2,4.3,,,,,81.2,,,1,,,53,3,45,3,43,3,50,3,45,3,89.1,75.4,53,283,65,283,47.2,56.8,40,93,43,,,21.4,58,119,,,23,96,,,,,,,,,,3972,89.1,75.4,183,57,27,53,28,38,34,68,57,55,46,25,60,53,30,12,94,28,50,52,2,,60,,49,52,,,63,,42,51,,50,47,,,27,49,53,45,43,50,45,3,0
Lincoln-Douglas Elementary School- Quincy SD 172,Quincy SD 172,1.00E+13,,1.73E+11,1,School,Lincoln-Douglas Elementary School,Quincy,Adams,UNIT,LARGE,ELEMENTARY,K - 5,24.5,Commendable,580,78.3,6.2,4.5,,,,10,18.8,18.3,,61.9,,,93.1,6.6,64,12.6,,,24.5,4.3,,,,,88.8,,,1,,,49,3,48,3,49,3,59,3,42,3,84.2,70.7,86,291,87,291,45.2,49.3,40,84,47.6,,,21.7,39,66,,,8,58,,,,,,,,,,3973,84.2,70.7,183,58,26,35,36,48,52,46,61,60,52,20,54,34,48,8,99,35,40,65,9,,66,,58,52,,,55,,58,51,,66,46,,,71,65,49,48,49,59,42,3,0
Dr. Abby Fox Rooney Elementary School- Quincy SD 172,Quincy SD 172,1.00E+13,,1.73E+11,1,School,Dr. Abby Fox Rooney Elementary School,Quincy,Adams,UNIT,LARGE,ELEMENTARY,K - 5,19.8,Commendable,490,71.4,10.2,3.9,,,,13.9,20.4,18.2,,70,7.1,,93,10,55,12.6,,,21,4.3,,,,,88.2,,,3,,,41,3,40,3,47,3,58,3,59,3,94.6,72.2,68,221,68,221,45.3,48.5,34,72,47.2,,,20.9,55,151,,,103,48,,,,,,,,,,3976,94.6,72.2,148,54,39,44,33,40,33,43,45,49,48,27,31,37,48,28,94,43,34,42,10,,72,,58,66,,,84,,61,57,,68,46,,,59,54,41,40,47,58,59,3,0
Early Childhood- Quincy SD 172,Quincy SD 172,1.00E+13,,1.73E+11,1,School,Early Childhood,Quincy,Adams,UNIT,LARGE,ELEMENTARY,PK - K,17.8,,439,64.9,13.7,4.1,,,,17.3,32.8,32.3,,77.4,2.7,,,,,,,,17,2.6,,,,,92.5,,,2,,,37,2,16,1,45,3,,0,,0,0,89.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,3970,0,89.1,0,55,,1,2,39,1,35,43,70,39,,25,13,29,,60,26,29,22,1,,,,,,,,,,,,,,,,,,,37,16,45,,,2,-2
Brown County High School- Brown County CUSD 1,Brown County CUSD 1,1.01E+13,,1.73E+11,1,School,Brown County High School,Mount Sterling,Brown,UNIT,MEDIUM,HIGH SCHOOL,9 - 12,17.1,Commendable,209,93.3,,,,,,,17.7,14.4,,38.8,,,93.9,11.6,10,4.7,,98,13.4,5,,,,,90.5,,,1,,,72,4,64,4,65,4,53,3,71,4,98.5,59.3,8,43,10,43,,,30,41,73.2,45,93.8,17.3,28,53,,,34,19,,,,,,,,,,1784,98.5,59.3,195,27,92,33,75,51,44,66,82,61,58,91,71,43,68,95,99,75,89,74,82,48,90,61,80,55,1,87,55,36,73,78,64,55,50,27,50,85,65,72,64,65,53,71,5,4
Brown County Middle School- Brown County CUSD 1,Brown County CUSD 1,1.01E+13,,1.73E+11,1,School,Brown County Middle School,Mount Sterling,Brown,UNIT,MEDIUM,MIDDLE SCHL,5 - 8,17,Commendable,205,94.1,,,,,,,14.1,12.7,,40.5,,23.8,93.8,4.8,11,5.2,,,19.1,5,,,,,80.9,,,3,,,77,4,73,4,46,3,45,3,81,5,98.5,72.2,70,205,64,205,43.8,53.3,72,118,61,,,17.5,11,17,,,16,1,,,,,,,,,,1785,98.5,72.2,199,18,77,67,75,69,41,68,78,45,28,63,76,56,73,67,99,64,93,75,62,,53,6,62,99,,68,65,22,55,93,19,47,29,36,,47,42,77,73,46,45,81,5,3
Brown County Elementary School- Brown County CUSD 1,Brown County CUSD 1,1.01E+13,,1.73E+11,1,School,Brown County Elementary School,Mount Sterling,Brown,UNIT,MEDIUM,ELEMENTARY,PK - 4,20.3,Commendable,260,97.3,,,,,,,18.8,17.7,,41.2,,,93.5,7.2,,,,,18.3,5,,,,,84.5,,,3,,,53,3,47,3,42,3,61,4,29,2,94.6,56.7,22,82,28,82,59.1,33.5,,,,,,18.3,1,1,,,Not Provided,1,,,,,,,,,,1783,94.6,56.7,37,30,54,59,46,49,37,50,39,24,54,26,48,35,33,36,99,48,73,49,31,,76,,63,11,,,18,,60,51,,33,66,,,30,40,53,47,42,61,29,3,0
Beardstown Jr/Sr High School- Beardstown CUSD 15,Beardstown CUSD 15,1.01E+13,1.01E+13,1.71E+11,1,School,Beardstown Jr/Sr High School,Beardstown,Cass,UNIT,MEDIUM,HIGH SCHOOL,5 - 12,24,Commendable,813,30.3,9,57.4,,,,,14.4,14.4,44,64.9,2.1,21.6,92.8,15.7,133,15,5.7,83.5,19.7,4.5,,,,,86.7,,,2,,,47,3,36,2,35,2,37,2,47,3,65,57.1,40,476,20,475,42.6,39.4,89,285,31.7,94,86.2,23.5,101,219,Not Provided,,147,72,Not Provided,906,"High School,Middle/Jr. High",905,1,3,2023,TComp,West Central,1641,65,57.1,829,84,53,38,22,31,1,35,61,40,33,66,41,38,41,40,99,31,62,36,44,26,61,52,72,54,1,56,52,42,56,41,32,32,28,40,39,71,53,47,36,35,37,47,1,-3
Gard Elementary School- Beardstown CUSD 15,Beardstown CUSD 15,1.01E+13,,1.71E+11,1,School,Gard Elementary School,Beardstown,Cass,UNIT,MEDIUM,ELEMENTARY,K - 4,24,Commendable,470,26,13.2,38.7,,3,,16.6,19.4,19.4,61.5,73.4,,,92,13.8,37,9.5,,,17.7,5,,,,,83.5,,,2,,,,0,,0,,0,,0,,0,34.4,31.8,13,161,13,161,45.2,51.8,,,,,,29.2,12,15,,,8,7,,,,,,,,,,1643,34.4,31.8,90,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
Grand Ave Sch- Beardstown CUSD 15,Beardstown CUSD 15,1.01E+13,,1.71E+11,1,School,Grand Ave Sch,Beardstown,Cass,UNIT,MEDIUM,PreK,PK,21.9,,177,17.5,17.5,26,,,,33.9,18.1,17.5,78,79.1,,,,,,,,,,,,,,,100,,,1,,,,0,,0,,0,,0,,0,0,21.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,1644,0,21.4,0,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
Virginia Jr/ Sr High School- Virginia CUSD 64,Virginia CUSD 64,1.01E+13,,1.74E+11,1,School,Virginia Jr/ Sr High School,Virginia,Cass,UNIT,SMALL,HIGH SCHOOL,6 - 12,18.3,Commendable,132,90.2,,,,,,,25.8,12.9,,50,,23.8,92.2,11.6,14,9.5,,89.5,12.7,5,,,,,83.8,,,4,,,46,3,36,2,45,3,42,3,58,3,86.5,73.3,39,82,27,82,57.4,42.4,21,35,60,17,94.4,24.3,33,49,,,25,24,,,,,,,,,,43131,86.5,73.3,133,15,42,19,41,43,26,47,51,46,59,75,62,10,46,51,98,29,42,10,57,34,64,49,77,61,1,82,56,40,44,62,77,34,46,68,27,55,61,46,36,45,42,58,2,-1
Virginia Elementary School- Virginia CUSD 64,Virginia CUSD 64,1.01E+13,,1.74E+11,1,School,Virginia Elementary School,Virginia,Cass,UNIT,SMALL,ELEMENTARY,PK - 5,17,Commendable,177,90.4,,,,,,,20.9,15.3,,65.5,,,93.6,,15,11.5,,,21.1,5,,,,,80.6,,,3,,,50,3,11,1,30,2,71,4,70,4,99.9,88.9,24,84,22,84,40.3,57.5,18,25,72,,,18.4,12,25,,,23,2,,,,,,,,,,4623,99.9,88.9,43,9,,1,6,51,3,25,61,16,42,,30,2,17,,90,33,64,1,12,,99,,91,57,,,74,,67,80,,91,50,,,99,67,50,11,30,71,70,3,0
A-C Central High School- A-C Central CUSD 262,A-C Central CUSD 262,1.01E+13,,1.70E+11,1,School,A-C Central High School,Ashland,Cass,UNIT,SMALL,HIGH SCHOOL,9 - 12,21.5,Commendable,107,96.3,,,,,,,,,,33.6,,,91.6,,,,,93.1,10.6,5,,,,,73.1,,,4,,,32,2,18,1,24,2,41,3,30,2,99.9,62.5,6,24,4,24,,,11,23,47.8,27,90,31.6,Not Provided,Not Provided,,,Not Provided,Not Provided,,,,,,,,,,1466,99.9,62.5,110,16,70,7,26,18,1,25,58,34,27,55,35,7,13,17,80,10,28,10,57,26,60,24,55,27,1,71,28,48,45,48,33,26,43,53,40,31,53,32,18,24,41,30,1,-4
A-C Central Middle School- A-C Central CUSD 262,A-C Central CUSD 262,1.01E+13,,1.70E+11,1,School,A-C Central Middle School,Ashland,Cass,UNIT,SMALL,MIDDLE SCHL,5 - 8,18.3,Commendable,82,87.8,,,,,,,15.9,15.9,,56.1,,40,93.6,16,,,,,14.7,5,,,,,88.2,,,4,,,33,2,13,1,,0,40,3,41,3,98.8,88.9,18,91,8,91,31.8,33.2,23,49,47.9,,,15.4,Not Provided,Not Provided,,,Not Provided,Not Provided,,,,,,,,,,1467,98.8,88.9,85,9,55,,9,53,1,1,50,28,,57,19,4,23,28,84,,27,2,41,,27,48,51,30,,68,58,16,56,46,11,10,35,40,,42,42,33,13,,40,41,2,-2
A-C Central Elementary School- A-C Central CUSD 262,A-C Central CUSD 262,1.01E+13,,1.70E+11,1,School,A-C Central Elementary School,Chandlerville,Cass,UNIT,SMALL,ELEMENTARY,PK - 4,20.2,,147,97.3,,,,,,,8.8,8.8,,48.3,,,93.1,,,,,,13.7,5,,,,,80,,,2,,,42,3,22,2,30,2,55,3,37,2,90.9,56.5,18,47,21,47,39.7,40.9,,,,,,23.1,2,4,,,1,3,,,,,,,,,,1465,90.9,56.5,22,23,59,8,24,47,12,22,51,29,34,46,12,1,26,49,99,26,49,41,51,,99,,95,18,,,6,,60,76,,31,21,,,42,39,42,22,30,55,37,1,-3
Franklin Jr/Sr High School- Franklin CUSD 1,Franklin CUSD 1,1.07E+13,,1.72E+11,1,School,Franklin Jr/Sr High School,Franklin,Morgan,UNIT,SMALL,HIGH SCHOOL,6 - 12,20.5,Commendable,154,96.1,,,,,,,15.6,14.3,,26.6,,81.5,92.1,7,,,,92.3,14.3,3.4,,,,,82.4,,,2,,,35,2,28,2,59,3,37,2,42,3,93.2,91.3,10,85,13,85,31.1,39.6,26,48,54.2,24,92.3,23.9,3,3,,,1,2,,,,,,,,,,2590,93.2,91.3,146,23,81,4,19,26,1,25,63,46,61,76,38,27,50,54,29,70,27,27,66,32,52,30,36,23,1,88,47,64,40,42,84,19,42,50,20,67,52,35,28,59,37,42,1,-3
Franklin East Grade School- Franklin CUSD 1,Franklin CUSD 1,1.07E+13,,1.72E+11,1,School,Franklin East Grade School,Franklin,Morgan,UNIT,SMALL,ELEMENTARY,PK - 2,20.5,,70,98.6,,,,,,,17.1,,,30,,,94,,,,,,17,5,,,,,90,,,3,,,,0,,0,,0,,0,,0,0,99.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,2589,0,99.9,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
Franklin Elementary School- Franklin CUSD 1,Franklin CUSD 1,1.07E+13,,1.72E+11,1,School,Franklin Elementary School,Franklin,Morgan,UNIT,SMALL,ELEMENTARY,3 - 5,18.4,Exemplary,56,96.4,,,,,,,17.9,17.9,,19.6,,,95,,,,,,18,5,,,,,90.9,,,2,,,,0,,0,,0,51,3,37,2,97.7,80,31,56,13,56,60.4,54.4,10,14,71.4,,,,,,,,,,,,,,,,,,,44661,97.7,80,43,5,,,,,,,,,,,,,,,,,,,,,62,,58,26,,,38,,42,47,,66,43,,,72,58,,,,51,37,2,-1
Waverly Junior/Senior High School- Waverly CUSD 6,Waverly CUSD 6,1.07E+13,,1.74E+11,1,School,Waverly Junior/Senior High School,Waverly,Morgan,UNIT,SMALL,HIGH SCHOOL,7 - 12,18.4,Commendable,129,94.6,,,,,,,13.2,13.2,,51.9,,28,90.7,8.7,30,21.3,,90.5,12.5,5,,,,,64.7,,,3,,,,0,,0,,0,35,2,50,3,77.5,61.5,11,63,12,62,38.6,39.5,15,39,38.5,17,85,35.5,13,26,,,6,20,,,,,,,,,,4685,77.5,61.5,129,13,,,19,,,,,,,,,27,14,,,,,,,,59,43,62,60,1,70,43,43,43,47,44,34,48,47,14,56,42,,,,35,50,2,-1
Waverly Elementary School- Waverly CUSD 6,Waverly CUSD 6,1.07E+13,,1.74E+11,1,School,Waverly Elementary School,Waverly,Morgan,UNIT,SMALL,ELEMENTARY,PK - 6,23.4,Commendable,211,92.9,,,,,,,18.5,18.5,,47.9,5.7,,94.3,9.3,,,,,14.5,5,,,,,87,,,4,,,33,2,30,2,44,3,45,3,28,2,83.9,67.9,16,121,14,121,28.8,40.8,12,36,35.3,,,16.2,14,17,,,16,1,,,,,,,,,,4684,83.9,67.9,87,28,41,32,30,22,1,17,41,35,54,32,15,46,26,1,92,43,50,45,24,,61,32,50,32,,40,38,14,47,41,46,26,32,33,,28,41,33,30,44,45,28,1,-3
Meredosia-Chambersburg High Sch- Meredosia-Chambersburg CUSD 11,Meredosia-Chambersburg CUSD 11,1.07E+13,,1.73E+11,1,School,Meredosia-Chambersburg High Sch,Meredosia,Morgan,UNIT,SMALL,HIGH SCHOOL,9 - 12,26.5,,47,89.4,,,,,,,,,,70.2,,,84.6,,13,26,,75,8.4,5,,,,,82.6,,,3,,,40,3,33,2,21,2,26,2,42,3,99.9,99.9,0,15,0,15,,,,,,13,92.9,58,6,9,,,1,8,,,,,,,,,,3350,99.9,99.9,45,9,66,15,35,32,1,29,43,50,1,68,42,1,33,50,75,11,56,40,48,4,1,22,28,44,1,49,37,4,66,35,1,37,46,38,22,36,32,40,33,21,26,42,1,-3
Meredosia-Chambersburg Jr High- Meredosia-Chambersburg CUSD 11,Meredosia-Chambersburg CUSD 11,1.07E+13,,1.73E+11,1,School,Meredosia-Chambersburg Jr High,Meredosia,Morgan,UNIT,SMALL,MIDDLE SCHL,6 - 8,4.9,Comprehensive,43,90.7,,,,,,,37.2,37.2,,79.1,,0,89.7,,,,,,12,5,,,,,66.7,,,3,,,,0,,0,,0,26,2,48,3,99.9,99.9,1,45,0,45,32.5,39.6,0,13,0,,,35.4,11,22,,,14,8,,,,,,,,,,3351,99.9,99.9,40,6,,,,,,,,,,,,,,,,,,,,,1,15,22,46,,72,56,12,42,42,1,7,33,37,,14,27,,,,26,48,2,-1
